,Video_Id,Channel_Id,Channel_Title,Title,Url,Tags,View_Count,Like_Count,Comment_Count,Duration
1848,XebzLcG1BoM,UCpVm7bg6pXKo1Pr6k5kxG9A,National Geographic,The History of Vlad the Impaler | Atlas of Cursed Places,https://i.ytimg.com/vi/XebzLcG1BoM/mqdefault.jpg,"['national geographic', 'nat geo', 'natgeo', 'animals', 'wildlife', 'science', 'explore', 'discover', 'survival', 'nature', 'documentary', 'Vlad', 'Dracula', 'Vlad Tepes', 'Vlad the Impaler', 'Atlas of Cursed Places', 'Atlas of Cursed Places Nat geo', 'Ottoman Empire', 'Romania', 'vlad dracula', 'cursed places', 'vlad the impaler vs dracula', 'History of Vlad The Impaler', 'History of Vlad', 'vlad tepes dracula', 'vlad tepes history', 'story of vlad the impaler', 'vlad the impaler history', 'atlas of cursed places national geographic']",344175,6986,772,PT4M22S
1849,-jv-brcIu1E,UCpVm7bg6pXKo1Pr6k5kxG9A,National Geographic,Submarine Rescues Stranded Aviator | WW2 Hell Under the Sea,https://i.ytimg.com/vi/-jv-brcIu1E/mqdefault.jpg,"['national geographic', 'nat geo', 'natgeo', 'animals', 'wildlife', 'science', 'explore', 'discover', 'survival', 'nature', 'culture', 'documentary', 'america inside out', 'america inside out nat geo', 'katie couric', 'Aviator', 'Japanese island', 'Chichi-jima', 'Japanese island of Chichi-jima', 'allied plane', 'shot down', 'pilot survives', 'stranded aviator', 'submarine', 'submarine in the area', 'area to rescue']",186916,3217,194,PT3M17S
1850,aYaApgiYM7w,UCpVm7bg6pXKo1Pr6k5kxG9A,National Geographic,The Sinking of the SS Robert J Walker | WW2 Hell Under the Sea,https://i.ytimg.com/vi/aYaApgiYM7w/mqdefault.jpg,"['national geographic', 'nat geo', 'natgeo', 'animals', 'wildlife', 'science', 'explore', 'discover', 'survival', 'nature', 'culture', 'documentary', 'WW2 Hell Under the Sea', 'WWII', 'WW2', 'German Submarine', 'World War II', 'SS Robert J Walker', 'Tasman Sea', 'World war', 'world war 2', 'world war 2 history', 'world war 2 documentary videos', 'SS Robert J Walker ship', 'Sinking of the SS Robert J Walker', 'Hell Under the Sea', 'ww2 hell under the sea national geographic', 'WW2 Hell Under the Sea nat geo', 'Freighter', 'Submarine']",373848,5114,150,PT5M6S
1851,jtrFTHlUJ5Q,UCpVm7bg6pXKo1Pr6k5kxG9A,National Geographic,Investigating Cyber Pirates (Full Episode) | Trafficked with Mariana van Zeller,https://i.ytimg.com/vi/jtrFTHlUJ5Q/mqdefault.jpg,"['National Geographic', 'Nat Geo', 'Natgeo', 'Animals', 'Wildlife', 'Science', 'Explore', 'Discover', 'Survival', 'Nature', 'Culture', 'Documentary', 'Perpetual Planet Nat Geo', 'Photography', 'Cyber Pirates', 'Mariana Van Zeller', 'Trafficked With Mariana Van Zeller', 'Cyber', 'Mariana', 'Financial Data', 'Shadowy Network', 'Hackers', 'Thieves', 'Trafficking 4k', 'Private Data', 'Financial Data Trafficked', 'Personal Data Trafficked', 'Cyber Piracy', 'Software Piracy', 'Shadowy Network Hackers', 'Shadowy Network Thieves', 'Cyber Pirates Trafficked']",104822,2021,115,PT44M25S
1852,dYJpPdSTzGs,UCpVm7bg6pXKo1Pr6k5kxG9A,National Geographic,Investigating the Meth Superhighway (Full Episode) | Trafficked with Mariana van Zeller,https://i.ytimg.com/vi/dYJpPdSTzGs/mqdefault.jpg,"['national geographic', 'nat geo', 'natgeo', 'animals', 'wildlife', 'science', 'explore', 'discover', 'survival', 'nature', 'culture', 'documentary', 'perpetual planet nat geo', 'photography', 'full episode', 'Labs', 'Mariana van Zeller', 'American Users', 'Super Highway', 'Zeller', 'Highway Zone', 'Drug Trafficking', 'Smuggling video', 'Trafficked', 'Across the Border', 'Mariana', 'Into the Border', 'Lives of American Users', 'Trafficking video', 'Meth', 'Full Episode', 'Trafficked with Mariana van Zeller', 'National Geographic', 'Trafficking 4k']",727246,8686,737,PT44M25S
1853,zrXTPe3mlg4,UCpVm7bg6pXKo1Pr6k5kxG9A,National Geographic,Trapped in the icy waters of the Northwest Passage | Podcast | Overheard at National Geographic,https://i.ytimg.com/vi/zrXTPe3mlg4/mqdefault.jpg,"['national geographic', 'nat geo', 'natgeo', 'animals', 'wildlife', 'science', 'explore', 'discover', 'survival', 'nature', 'culture', 'documentary', 'perpetual planet nat geo', 'photography', 'Overheard at Nat Geo', 'National Geographic Podcast', 'National Geographic Documentary', 'Trapped in the icy waters', 'Northwest Passage', 'Overheard at National Geographic', 'polar expedition', 'Atlantic and Pacific Oceans', 'Arctic exploration', 'Mark Synnott', 'Sir John Franklin', 'National Geographic Explorer', 'Renan Ozturk', 'Podcast']",27642,470,16,PT31M52S
1854,olaBq49XWOM,UCpVm7bg6pXKo1Pr6k5kxG9A,National Geographic,How queer identity shapes Nat Geo Explorers | Podcast | Overheard at National Geographic,https://i.ytimg.com/vi/olaBq49XWOM/mqdefault.jpg,"['national geographic', 'nat geo', 'natgeo', 'animals', 'wildlife', 'science', 'explore', 'discover', 'survival', 'nature', 'culture', 'documentary', 'perpetual planet nat geo', 'photography', 'Overheard at Nat Geo', 'National Geographic Podcast', 'National Geographic Documentary', 'Scientist', 'Stench of a Car', 'Queer Identity shapes', 'Nat Geo Explorer', 'Rotting Meat', 'Whistling language', 'Natural World', 'National Geographic Explorer', 'Pride', 'Christine Wilkinson', 'Queer is Natural', 'Rüdiger Ortiz Álvarez', 'Podcast', 'Jessica Ortiz']",20406,389,243,PT31M20S
1855,twVdBzQM-gc,UCpVm7bg6pXKo1Pr6k5kxG9A,National Geographic,Expedition Everest: The Science - 360 | National Geographic,https://i.ytimg.com/vi/twVdBzQM-gc/mqdefault.jpg,"['national geographic', 'nat geo', 'natgeo', 'animals', 'wildlife', 'science', 'explore', 'discover', 'survival', 'nature', 'documentary', 'Expedition Everest', 'Expedition Everest: The Science', 'virtual reality', 'virtual reality experience', 'Everest Expedition begins', 'meteorologists', 'geologists', 'biologists', 'glaciologists', 'Mt. Everest', 'world’s highest weather station', 'climate change', 'Rolex Perpetual Planet', 'Everest Expedition', 'weather station', 'The Science']",261869,2952,106,PT6M39S
1856,KM6HWp_ik2c,UCpVm7bg6pXKo1Pr6k5kxG9A,National Geographic,Expedition Everest: The Mission - 360 | National Geographic,https://i.ytimg.com/vi/KM6HWp_ik2c/mqdefault.jpg,"['national geographic', 'nat geo', 'natgeo', 'animals', 'wildlife', 'science', 'explore', 'discover', 'survival', 'nature', 'documentary', 'Expedition Everest', 'The Mission', 'Expedition Everest: The Mission', 'Rolex Perpetual Planet Everest Expedition', 'Perpetual Planet Everest', 'Everest Expedition']",489760,4563,157,PT4M12S
1857,IlW9fOAC8Ec,UCpVm7bg6pXKo1Pr6k5kxG9A,National Geographic,Kayaking the Highest Waterfall EXTREME (Full Episode) | Science of Stupid,https://i.ytimg.com/vi/IlW9fOAC8Ec/mqdefault.jpg,"['national geographic', 'nat geo', 'natgeo', 'animals', 'wildlife', 'science', 'explore', 'discover', 'survival', 'nature', 'culture', 'documentary', 'perpetual planet nat geo', 'photography', 'full episode', 'Kayaking', 'Highest Waterfall', 'Extreme', 'Science of Stupid', 'Ben Aaron', 'Full Episode', 'Kayaking the Highest Waterfall', 'Extraordinary Attempt', 'Breaking the World Record', 'Waterfalls', 'World Record', 'Extreme Waterfall', 'Attempt to World Record']",80694,985,28,PT22M19S
